Bennett Salvatore,MAIN,61,0.689,3.5,204.1,42.2,50,50,1,0.8
Bill Kennedy,MAIN,44,0.523,1.1,199.5,41.6,49.5,50.4,0.7,0.7
Bill Spooner,MAIN,59,0.644,2.8,207.5,41.1,52.5,47.5,0.7,0.4
Bob Delaney,MAIN,59,0.61,4,199.1,42.4,50.7,49.2,0.7,0.8
Dan Crawford,MAIN,70,0.571,1.7,201.1,42.1,50.7,49.3,0.8,0.8
David Jones,MAIN,9,0.444,-0.8,191.9,38.9,52,48,0.6,0.3
Derrick Collins,MAIN,1,1,9,175,44,47.7,52.3,1,1
Derrick Stafford,MAIN,63,0.635,4.5,201.8,42.2,51,48.9,0.8,0.7
Dick Bavetta,MAIN,61,0.557,1,197.3,40.9,50.1,49.9,0.6,0.7
Ed Malloy,MAIN,22,0.591,4.4,200.5,41,50.2,49.9,0.8,0.5
Eddie Rush,MAIN,61,0.59,2.6,201.4,42.6,51.5,48.5,0.9,0.7
Greg Willard,MAIN,61,0.59,2.7,201.9,41.7,50.4,49.6,0.9,0.8
James Capers,MAIN,11,0.545,-0.5,201.3,42.5,51.1,49,0.6,0.5
Jason Phillips,MAIN,2,0,-5.5,185.5,41.5,48.2,51.8,0.5,1
Joe Crawford,MAIN,61,0.525,0.7,200.1,41.8,49.6,50.3,0.6,0.5
Joe DeRosa,MAIN,60,0.633,4.3,201.8,40.4,51.7,48.1,0.8,0.6
Ken Mauer,MAIN,61,0.557,0.3,199.7,39.6,52.2,47.7,0.8,1.3
Marc Davis,MAIN,29,0.552,2.8,205.9,41.8,51.5,48.6,0.7,0.7
Mark Wunderlich,MAIN,55,0.582,2.3,193.1,40.3,50.4,49.5,0.8,1
Michael Smith,MAIN,4,0,-9.8,197.8,41.5,54.2,45.8,0.3,0.5
Mike Callahan,MAIN,66,0.667,5.8,201.2,39.9,50.7,49.2,0.6,0.7
Monty McCutchen,MAIN,66,0.636,4.1,202.7,43.7,50,50,0.8,0.7
Ron Garretson,MAIN,68,0.632,4.1,199.8,41.6,51.6,48.4,0.7,0.8
Scott Foster,MAIN,69,0.58,2.9,200.3,43.8,51.4,48.6,0.8,0.9
Sean Corbin,MAIN,8,0.75,4.9,210.1,43.3,49.9,49.9,0.6,0.6
Steve Javie,MAIN,14,0.643,5,202.6,41.4,54.7,45.2,0.9,0.9
Tom Washington,MAIN,63,0.571,1.5,202.1,42.7,51.5,48.4,0.7,0.6
Tony Brothers,MAIN,16,0.5,0,196,41.6,53.2,46.9,1.3,0.8
Bennie Adams,CREW,66,0.515,-0.1,198.5,41.8,50.9,49,0.8,0.7
Bill Kennedy,CREW,28,0.679,6.3,199.5,42.4,51,49,0.3,0.6
Brent Barnaky,CREW,6,1,8,196.7,40.2,52.2,47.7,1,0.8
Brian Forte,CREW,59,0.661,4.7,197.6,41.2,51.8,48.1,0.7,0.9
Courtney Kirkland,CREW,63,0.619,3.8,204.3,40.7,51.8,48.1,0.4,0.8
Curtis Blair,CREW,55,0.582,1.5,198.3,42.5,51.4,48.7,0.8,0.6
David Guthrie,CREW,63,0.54,1,198.2,40.2,51,48.9,0.7,0.9
David Jones,CREW,38,0.632,3.8,199.8,40.6,52.2,47.8,0.3,0.7
Derek Richardson,CREW,63,0.619,4,202,43.6,51.2,48.7,0.1,0.7
Derrick Collins,CREW,68,0.574,3.3,197.5,41.2,50,50,0.5,0.6
Ed Malloy,CREW,49,0.633,4.1,201,39.5,51,48.9,0.1,0.9
Eli Roe,CREW,64,0.656,4.3,198.8,42.4,51.2,48.9,0.1,0.6
Eric Dalen,CREW,64,0.547,0.8,198.1,40,51.2,48.8,0.3,0.6
Eric Lewis,CREW,73,0.507,1.1,201.1,43,50.1,49.9,0.3,0.8
Gary Zielinski,CREW,71,0.549,2.4,197.2,41.5,51,49,0,0.7
Haywoode Workman,CREW,60,0.633,2.6,200.7,40,51.1,48.8,0,1
J.T. Orr,CREW,6,0.833,6.3,211,47.7,54.2,45.8,0,1
James Capers,CREW,56,0.679,2.1,206.6,41.6,51.9,48,0.6,0.5
James Williams,CREW,6,0.667,5.7,203,43.2,48.2,51.7,0,0.5
Jason Phillips,CREW,67,0.627,5.1,205,42.1,50.5,49.6,0.4,0.5
Joe Forte,CREW,37,0.703,4.1,197.3,41.4,52.7,47.4,0.6,0.9
John Goble,CREW,71,0.577,2.6,200.1,40.6,50.8,49.2,0.5,0.9
Josh Tiven,CREW,6,0.667,2.7,196,46.5,50.9,49.1,0,1
Kane Fitzgerald,CREW,54,0.519,0.2,202,41.5,50.6,49.5,0.4,0.8
Kevin Cutler,CREW,6,0.667,2.5,199.8,39.7,53.3,46.6,0.7,0.7
Kevin Fehr,CREW,66,0.591,2.4,205.5,41.2,50.9,49.2,0.7,0.8
Leon Wood,CREW,67,0.642,3.7,205.6,43,52.2,47.7,0.2,0.7
Leroy Richardson,CREW,67,0.597,3.2,204.1,42.6,51.4,48.5,0.1,0.6
Marat Kogut,CREW,50,0.52,0.5,199.6,41,50.2,49.9,0.3,0.8
Marc Davis,CREW,39,0.641,2.9,193.3,42.9,48.7,51.4,0.8,1.2
Mark Ayotte,CREW,63,0.54,-0.9,200.1,41,50.7,49.4,0.8,0.5
Mark Lindsay,CREW,63,0.635,3.3,202.7,40.9,50.3,49.8,0.2,0.4
Matt Boland,CREW,71,0.535,2.5,199.6,42.1,51.7,48.3,0.7,0.7
Michael Smith,CREW,63,0.651,4.5,200.7,42.9,50.9,49.1,0.1,0.7
Mike Callahan,CREW,1,1,9,221,43,46.5,53.5,0,2
Nick Buchert,CREW,6,0.667,-0.2,205.5,46.8,51.3,48.8,1.2,0.7
Olandis Poole,CREW,60,0.6,4.5,202.3,41.7,49.8,50,0,0.7
Pat Fraher,CREW,70,0.6,3,202.7,42,50.9,49.1,0.7,0.7
Phil Robinson,CREW,60,0.5,1.9,201.8,42.3,50.8,49.3,0.2,0.8
Rodney Mott,CREW,64,0.641,4.5,203.3,42.5,50.3,49.7,0.5,0.7
Scott Twardoski,CREW,6,0.5,-0.2,206.8,43.3,48.5,51.6,0.2,0.5
Scott Wall,CREW,51,0.608,2,196.8,40.9,51.6,48.5,0.1,0.7
Sean Corbin,CREW,55,0.727,4.7,201.9,43.4,53.1,46.9,0.6,1
Sean Wright,CREW,60,0.6,2.4,199,42.1,50.6,49.3,0.1,1
Tommy Nunez,CREW,68,0.529,3.8,202.7,41.1,50.9,49.2,0.2,0.7
Tony Brothers,CREW,52,0.481,-1.6,201,41,50.7,49.3,0.5,0.8
Tony Brown,CREW,67,0.612,2.8,198.2,40.7,49.6,50.4,0.6,0.7
Violet Palmer,CREW,7,0.714,7.3,197.6,42.3,49,51,0.4,1
Zach Zarba,CREW,68,0.544,2.3,202.3,43,50.4,49.5,0,0.6
