Bennett Salvatore,MAIN,10,0.5,7.3,195.3,47.9,53,47,1.2,1.2
Bennett Salvatore,CREW,2,1,13,181,41.5,51.8,48.2,0.5,1.5
Bill Kennedy,CREW,8,0.75,5,199.5,47.6,50.7,49.4,0.6,0.3
Bill Spooner,CREW,8,0.75,5,193.3,44.4,54.1,45.9,0.9,1.4
Dan Crawford,MAIN,14,0.643,5.5,186.9,45,52.2,47.8,0.8,1.1
David Jones,CREW,3,0.667,-5,191,45.3,56.7,43.4,0.7,1.7
Derrick Collins,CREW,2,0.5,-6.5,189.5,45,56.7,43.3,2.5,1.5
Derrick Stafford,CREW,11,0.818,7.7,200.8,49.8,50.9,49.1,0.9,1.4
Dick Bavetta,MAIN,5,0.6,3.8,181.8,41.4,53.1,46.9,1.6,0.8
Dick Bavetta,CREW,4,0.75,11,181,43.5,57.5,42.5,1.5,1
Ed Malloy,CREW,4,1,7.5,225,54.5,51.8,48.2,1,2
Eddie Rush,CREW,2,0.5,8,207,48.5,51.5,48.5,1,1.5
Gary Zielinski,CREW,2,1,18.5,178.5,40,53.8,46.3,1,0
Greg Willard,CREW,9,0.556,-0.3,188.1,46.2,53.9,46.2,1,1.3
James Capers,CREW,9,0.444,1.7,186.3,40.7,51.9,48,1.2,0.7
Jason Phillips,CREW,3,0.667,3,175,41.7,54.4,45.6,0.3,0.7
Jim Clark,CREW,2,0.5,-9.5,183.5,44.5,44.9,55.1,0.5,1.5
Joe Crawford,MAIN,13,0.769,4.2,199.6,48.5,51.7,48.2,0.9,1.5
Joe DeRosa,CREW,12,0.75,5.2,198.3,45.8,50,50,0.9,1.3
Joe Forte,CREW,2,0.5,5,168,39.5,43,57,0,1.5
Ken Mauer,CREW,12,0.417,5.7,192.5,44.6,50.3,49.7,0.6,0.8
Leon Wood,CREW,3,1,16.7,188,39.3,60.2,39.9,0.7,0.7
Marc Davis,CREW,9,0.889,10.9,202.2,51.2,54.3,45.8,1.8,2
Mark Wunderlich,MAIN,8,0.625,2.5,190,42.4,50.7,49.2,1.3,1
Mark Wunderlich,CREW,5,0.6,0.2,199.4,49.6,54.4,45.6,0.8,1
Mike Callahan,CREW,10,0.6,-4.6,191.2,43.4,52.5,47.5,0.9,1.8
Mike Smith,CREW,3,0.333,0,182,45.3,53.7,46.4,1,0.7
Monty McCutchen,MAIN,11,0.818,5,194.1,45.5,52.1,48,0.8,1
Monty McCutchen,CREW,2,1,7.5,202.5,50.5,52.5,47.5,0.5,2
Pat Fraher,CREW,1,1,3,233,39,46.2,53.8,1,1
Ron Garretson,CREW,10,0.6,2,196.8,41.7,52,48,1.2,0.7
Scott Foster,MAIN,9,0.556,-4.6,192.3,46.8,52,48,1,1.4
Scott Foster,CREW,2,0,-13.5,186.5,45.5,52.7,47.3,1.5,1
Sean Corbin,CREW,6,0.667,8.3,195.3,44.5,52.4,47.6,1.7,1.3
Steve Javie,MAIN,15,0.733,6.1,198.3,43.6,52.4,47.6,1.1,0.9
Tom Washington,CREW,11,0.727,2.1,190.1,47.9,51.4,48.6,1.1,0.8
Tony Brothers,CREW,6,0.5,0.2,188.8,42.3,48.5,51.6,1.2,0.5
Violet Palmer,CREW,4,1,13,190.5,44.8,50.8,49.1,2.3,1.8
Zach Zarba,CREW,2,0.5,3.5,193.5,45.5,53.8,46.2,0.5,0.5
