coachid,firstname,lastname,season_win,season_loss,playoff_win,playoff_loss
HugheKi01 ,Kim,Hughes,8,25,0,0
HUGHERE01 ,Rex,Hughes,23,35,0,0
IavarMa01 ,Marc,Iavaroni,33,90,0,0
INMANST01 ,Stu,Inman,6,20,0,0
IRVINGE01 ,George,Irvine,100,190,0,3
ISSELDA01 ,Dan,Issel,180,208,6,6
JACKSPH01 ,Phil,Jackson,1098,460,209,91
JACKSST01 ,Stu,Jackson,58,78,4,6
JEANNBU01 ,Buddy,Jeannette,136,173,15,10
JENTCH01  ,Chris,Jent,5,13,0,0
JOHNSAV01 ,Avery,Johnson,194,70,23,24
JOHNSDE01 ,Dennis,Johnson,8,16,0,0
JOHNSFR01 ,Frank,Johnson,63,71,2,4
JOHNSMA01 ,Magic,Johnson,5,10,0,0
JOHNSPH01 ,Phil,Johnson,236,306,2,7
JOHNSNE01 ,Neil,Johnston,95,59,4,8
JONESKC01 ,KC,Jones,522,252,81,57
JONESWA01 ,Wally,Jones,7,5,1,2
JORDAED01 ,Eddie,Jordan,257,343,8,18
JUCKEED01 ,Ed,Jucker,80,84,0,0
JULIAAL01 ,Alvin,Julian,47,81,0,0
KARLGE01  ,George,Karl,879,614,62,83
KarlGe01  ,George,Karl,107,57,12,10
KAUFFBO01 ,Bob,Kauffman,29,29,0,0
KERRJO01  ,John,Kerr,93,190,1,7
KLOPPBO01 ,Bob,Kloppenburg,3,9,0,0
KRUGELO01 ,Lon,Kruger,69,122,0,0
KrystLa01 ,Larry,Krystkowiak,31,69,0,0
KuestJo01 ,John,Kuester,27,55,0,0
KUNDLJO01 ,John,Kundla,423,302,60,35
LANIEBO01 ,Bob,Lanier,12,25,0,0
LAPCHJO01 ,Joe,Lapchick,326,247,30,30
LAYDEFR01 ,Frank,Layden,277,294,18,23
LEEGE01   ,George,Lee,63,71,2,4
LEONABO01 ,Bob,Leonard,186,264,0,0
LEVANAN01 ,Andrew,Levane,106,170,0,2
LEWISGR01 ,Grady,Lewis,55,73,0,2
LITTLGE01 ,Gene,Littles,44,111,0,0
LLOYDEA01 ,Earl,Lloyd,22,55,0,0
LOCKETA01 ,Tates,Locke,6,30,0,0
LOEFFKE01 ,Ken,Loeffler,79,90,4,6
LOGANJO01 ,John,Logan,2,1,0,0
LOUGHKE01 ,Kevin,Loughery,474,662,6,21
LOWESI01  ,Sidney,Lowe,79,228,0,0
LUCASJO01 ,John,Lucas,174,258,6,8
LYNAMJI01 ,Jim,Lynam,328,392,8,13
MACAUED01 ,Ed,Macauley,89,48,9,11
MACKIBO01 ,Bob,MacKinnon,25,68,0,0
MACLEJO01 ,John,MacLeod,707,657,47,54
MALONBR01 ,Brendan,Malone,29,71,0,0
MARSHTO01 ,Tom,Marshall,35,94,0,0
MARTISL01 ,Slater,Martin,5,3,0,0
MCCARJO01 ,John,McCarthy,22,59,0,0
MCCLOJA01 ,Jack,McCloskey,48,116,0,0
MCGUIDI01 ,Dick,McGuire,197,260,9,16
MCGUIFR01 ,Frank,McGuire,49,31,6,6
MCHALKE01 ,Kevin,McHale,39,55,0,0
MCHONMO01 ,Morris,McHone,11,20,0,0
MCKINHO01 ,Horace,McKinney,10,25,0,0
MCKINJA01 ,Jack,McKinney,136,215,0,2
MCMAHJA01 ,Jack,McMahon,260,289,10,19
MCMILDA01 ,Dave,McMillan,9,14,0,0
MCMILNA01 ,Nate,McMillan,410,395,6,11
MENDEMU01 ,Murray,Mendenhall,72,64,3,4
MIKANGE01 ,George,Mikan,9,30,0,0
MITCHSA01 ,Sam,Mitchell,156,189,3,8
MOEDO01   ,Doug,Moe,628,529,33,50
MontgMi01 ,Mike,Montgomery,68,96,0,0
MOOREDO01 ,Doxie,Moore,32,60,4,4
MORRIRO01 ,Robert,Morris,28,32,0,0
MOTTADI01 ,Dick,Motta,935,1017,56,70
MULLAJO01 ,Joe,Mullaney,105,88,16,14
MUSSEBI01 ,Bill,Musselman,78,180,0,0
MUSSEER01 ,Eric,Musselman,108,138,0,0
MYERSPE01 ,Pete,Myers,0,3,0,0
NattKe01  ,Kenny,Natt,11,47,0,0
NelsoDo01 ,Don,Nelson,1335,1063,75,91
NEWELTO01 ,Tom,Newell,0,1,0,0
NISSATO01 ,Tom,Nissalke,248,391,6,8
OBRIEJI01 ,Jim,O'Brien,286,290,13,13
ONEILKE01 ,Kevin,O'Neill,33,49,0,0
OLSENHA01 ,Harold,Olsen,95,63,8,12
PETTIBO01 ,Bob,Pettit,4,2,0,0
PFUNDRA01 ,Randy,Pfund,67,82,2,3
PHILLAN01 ,Andy,Phillip,6,4,0,0
PITINRI01 ,Rick,Pitino,192,220,6,7
POLLAJI01 ,Jim,Pollard,32,87,5,4
POPOVGR01 ,Gregg,Popovich,736,362,106,69
PorteTe01 ,Terry,Porter,94,111,1,4
POTTERO01 ,Roger,Potter,1,6,0,0
PRITCKE01 ,Kevin,Pritchard,5,22,0,0
RAMBIKU01 ,Kurt,Rambis,39,80,3,5
RAMSAJA01 ,Jack,Ramsay,864,783,44,58
REEDWI01  ,Willis,Reed,82,124,12,16
REISECH01 ,Chuck,Reiser,8,22,0,0
REYNOJE01 ,Jerry,Reynolds,56,114,0,0
RILEYPA01 ,Pat,Riley,1210,694,171,111
RIVERDO01 ,Doc,Rivers,451,380,46,40
ROBERSC01 ,Scotty,Robertson,109,178,0,0
ROCHAEP01 ,Ephraim,Rocha,65,88,4,6
RODGEJI01 ,Jimmy,Rodgers,115,160,2,6
ROLFERO01 ,Robert,Rolfe,17,27,0,0
ROTHSRO01 ,Ron,Rothstein,117,293,0,0
RUBINRO01 ,Roy,Rubin,4,47,0,0
RUSSEBI01 ,Bill,Russell,341,290,34,27
RUSSEJO01 ,John,Russell,42,66,1,2
SACHSPH01 ,Philip,Sachs,8,18,0,0
SADOWED01 ,Ed,Sadowski,3,9,0,0
SANDETO01 ,Tom,Sanders,23,39,0,0
SAUNDFL01 ,Flip,Saunders,613,452,47,51
SCHAEHE01 ,Herm,Schaefer,62,75,0,4
SCHAUFR01 ,Fred,Schaus,315,245,33,38
SCHAYDO01 ,Dolph,Schayes,151,172,9,12
SCHULMI01 ,Mike,Schuler,180,160,2,6
SCHULHO01 ,Howie,Schultz,21,14,0,0
SCOLAFR01 ,Fred,Scolari,12,27,0,0
ScottBy01 ,Byron,Scott,352,355,33,24
SCOTTRA01 ,Ray,Scott,147,134,4,6
SENESGE01 ,George,Senesky,119,97,10,10
SEYMOPA01 ,Paul,Seymour,271,241,14,21
SHARMBI01 ,Bill,Sharman,333,240,35,27
SHIPPCH01 ,Charley,Shipp,8,27,0,0
SHUEGE01  ,Gene,Shue,784,861,30,47
SILASPA01 ,Paul,Silas,355,400,13,16
SKILESC01 ,Scott,Skiles,361,335,18,24
SloanJe01 ,Jerry,Sloan,1190,780,97,100
SMARTKE01 ,Keith,Smart,9,31,0,0
SMILEJA01 ,Jack,Smiley,11,16,0,0
SOARAL01  ,Albert,Soar,2,17,0,0
SpoelEr01 ,Erik,Spoelstra,90,74,4,8
STAVELA01 ,Larry,Staverman,18,27,0,0
STJEAGA01 ,Garry,StJean,172,278,1,3
STOTTTE01 ,Terry,Stotts,115,168,1,4
SUESEKE01 ,Ken,Suesens,22,40,1,2
TapscEd01 ,Ed,Tapscott,18,53,0,0
TARKAJE01 ,Jerry,Tarkanian,9,11,0,0
TheusRe01 ,Reggie,Theus,44,62,0,0
ThomaIs01 ,Isiah,Thomas,187,223,5,10
THORNRO01 ,Rod,Thorn,15,15,0,0
TODDJI01  ,Jim,Todd,4,33,0,0
TODDRO01  ,Rolland,Todd,41,97,0,0
TODORMI01 ,Mike,Todorovich,14,28,0,0
TOMJARU01 ,Rudy,Tomjanovich,527,416,51,39
TORMOGE01 ,Gene,Tormohlen,1,7,0,0
TrianJa01 ,Jay,Triano,65,82,0,0
UNSELWE01 ,Wes,Unseld,202,345,2,3
VanGuJe01 ,Jeff,Van Gundy,430,318,44,44
VANGUST01 ,Stan,Van Gundy,282,149,45,31
VANARDI01 ,Dick,VanArsdale,14,12,0,0
VANBRBI01 ,Bill,VanBredaKolff,266,256,21,12
VandeKi01 ,Kiki,Vandeweghe,12,52,0,0
VERSADI01 ,Dick,Versace,73,87,0,3
VinceSa01 ,Sam,Vincent,32,50,0,0
VITALDI01 ,Dick,Vitale,34,60,0,0
WALKEDA01 ,Darrell,Walker,56,113,0,0
WALSHDO01 ,Donnie,Walsh,60,82,1,2
WANZEBO01 ,Bob,Wanzer,98,136,0,2
WEISSBO01 ,Bob,Weiss,223,299,2,12
WESTJE01  ,Jerry,West,145,101,8,14
WESTHPA01 ,Paul,Westhead,183,224,13,6
WESTPPA01 ,Paul,Westphal,292,216,27,22
WETZEJO01 ,John,Wetzel,28,54,0,0
WILKELE01 ,Lenny,Wilkens,1332,1155,80,96
WILLIHE01 ,Herb,Williams,16,27,0,0
WINTETE01 ,Tex,Winter,91,120,0,0
WINTEBR01 ,Brian,Winters,36,148,0,0
WITTMRA01 ,Randy,Wittman,100,207,0,0
WOHLDA01  ,Dave,Wohl,65,114,0,3
WOLFCH01  ,Charles,Wolf,143,187,7,9
WoodsMi01 ,Mike,Woodson,193,217,11,15
WOODSMIK01,Mike,Woodson,13,69,0,0
YOUNGDR01 ,Draff,Young,0,3,0,0

(289 row(s) affected)

