ilkid,firstname,lastname,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
HOOPEBO01 ,Bob,Hooper,A,16,288,72,0,0,38,45,0,0,0,41,74,25,26,22,0,0
HOOSECA01 ,Carroll,Hooser,A,3,6,2,0,0,2,0,0,0,0,3,2,1,0,0,0,0
HOOVETO01 ,Tom,Hoover,A,2,16,13,0,0,4,1,0,0,0,6,7,4,7,5,0,0
HOOVETO01 ,Tom,Hoover,N,4,11,4,0,0,3,1,0,0,0,3,3,2,0,0,0,0
HOPKIBO01 ,Bob,Hopkins,N,18,334,121,0,0,99,11,0,0,0,47,117,38,58,45,0,0
HOPPEDA01 ,Dave,Hoppen,N,3,9,6,3,0,3,0,0,0,0,1,3,3,2,0,0,0
HOPSODE01 ,Dennis,Hopson,N,5,18,8,2,2,4,1,0,1,1,2,6,2,9,4,0,0
HORDGCE01 ,Cedrick,Hordges,N,3,45,19,11,2,13,2,1,0,4,4,19,8,4,3,1,0
HorfoAl01 ,Al,Horford,N,16,529,150,91,34,125,43,9,13,19,52,131,59,45,32,1,0
HORFOTI01 ,Tito,Horford,N,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
HORNAJE01 ,Jeff,Hornacek,N,140,4766,2092,391,136,527,525,170,25,231,385,1578,741,551,488,282,122
HORNRO01  ,Ron,Horn,N,7,55,12,0,0,11,2,0,0,0,13,12,4,5,4,0,0
HORRYRO01 ,Robert,Horry,N,244,6824,1939,952,409,1361,575,276,225,282,717,1562,665,482,348,728,261
HOSKEWI01 ,Wilmer,Hosket,N,9,51,17,0,0,12,4,0,0,0,9,16,7,5,3,0,0
HOUBRBO01 ,Bob,Houbregs,N,23,468,202,0,0,135,36,0,0,0,55,158,67,92,68,0,0
HOUSEED01 ,Eddie,House,N,59,632,256,54,6,60,47,21,4,23,60,241,97,30,26,96,36
HOUSTAL01 ,Allan,Houston,N,63,2525,1214,165,19,184,139,43,10,163,151,970,435,303,268,181,76
