ilkid,firstname,lastname,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
KAPONJA01 ,Jason,Kapono,N,10,231,98,16,2,18,6,4,0,3,18,70,39,6,5,28,15
KarlCo01  ,Coby,Karl,N,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
KARLGE01  ,George,Karl,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARLGE01  ,George,Karl,A,17,245,59,0,0,22,45,0,0,0,36,58,24,18,11,0,0
KATKALE01 ,Leo,Katkaveck,N,2,0,6,0,0,0,3,0,0,0,7,13,2,3,2,0,0
KAUFFBO01 ,Bob,Kauffman,N,5,24,6,0,0,7,6,0,0,0,5,6,2,5,2,0,0
KEEFEAD01 ,Adam,Keefe,N,64,676,190,103,47,150,19,20,9,28,83,134,73,66,43,2,1
KEELIHA01 ,Harold,Keeling,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KELLEGA01 ,Gary,Keller,A,16,199,93,0,0,73,11,0,0,0,39,88,37,33,19,0,0
KELLERI01 ,Rich,Kelley,N,45,860,259,151,95,246,105,39,24,69,133,197,92,94,75,2,0
KELLYAR01 ,Arvesta,Kelly,A,13,77,33,0,0,16,5,0,0,0,22,36,13,8,7,0,0
KELSEGR01 ,Greg,Kelser,N,5,25,8,5,4,9,2,1,0,2,6,7,2,4,4,0,0
KELSOBE01 ,Ben,Kelso,N,1,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
KEMPSH01  ,Shawn,Kemp,N,88,2937,1522,539,314,853,161,99,137,275,346,1032,514,616,491,15,3
KEMPTTI01 ,Tim,Kempton,N,6,121,44,10,11,21,12,3,0,6,17,34,17,10,10,0,0
KENNEEU01 ,Eugene,Kennedy,N,6,35,12,0,0,12,0,0,0,0,6,10,5,2,2,0,0
KENNEEU01 ,Eugene,Kennedy,A,16,165,73,0,0,42,6,0,0,0,31,62,29,20,15,0,0
KENONLA01 ,Larry,Kenon,A,26,946,477,0,0,307,46,0,0,0,66,423,209,78,59,0,0
KENONLA01 ,Larry,Kenon,N,31,1031,501,17,23,270,82,29,4,6,84,508,218,93,65,1,0
KENVIBI01 ,Bill,Kenville,N,41,761,284,0,0,116,60,0,0,0,103,224,89,153,106,0,0
KERRIJA01 ,Jack,Kerris,N,11,94,92,0,0,40,24,0,0,0,47,86,30,55,32,0,0
KERRST01  ,Steve,Kerr,N,128,1997,553,83,27,110,156,63,3,41,142,451,192,97,85,227,84
KERSEJE01 ,Jerome,Kersey,N,126,3394,1557,440,283,723,233,168,80,163,427,1277,599,491,357,21,2
KESSLAL01 ,Alec,Kessler,N,2,12,2,1,0,1,0,0,0,1,1,2,0,2,2,0,0
KEYEJU01  ,Julius,Keye,A,19,643,129,0,0,210,42,0,0,0,62,135,57,31,15,0,0
KEYSRA01  ,Randolph,Keys,N,1,12,0,3,0,3,1,0,0,2,1,3,0,0,0,1,0
KIDDJA01  ,Jason,Kidd,N,115,4710,1743,665,191,856,1020,224,36,361,278,1570,625,416,321,547,172
KILEYJA01 ,Jack,Kiley,N,1,2,2,0,0,0,1,0,0,0,0,3,1,0,0,0,0
KILLUER01 ,Ernie,Killum,N,2,4,4,0,0,0,0,0,0,0,1,1,1,3,2,0,0
KIMBATO01 ,Toby,Kimball,N,14,237,71,0,0,83,6,0,0,0,21,67,28,27,15,0,0
KIMBLBO01 ,Bo,Kimble,N,3,5,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0
KINGAL01  ,Albert,King,N,21,624,327,66,44,110,49,26,8,47,81,298,135,74,54,9,3
KINGBE01  ,Bernard,King,N,28,934,687,70,40,121,65,24,6,56,94,481,269,203,148,4,1
KINGCH01  ,Chris,King,N,2,7,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0
KINGGE01  ,George,King,N,39,1327,428,0,0,149,180,0,0,0,113,382,142,212,144,0,0
KINGGE03  ,Gerard,King,N,8,14,4,4,0,4,1,0,1,1,2,4,2,0,0,0,0
KINGJI01  ,Jim,King,N,73,1452,602,0,0,246,182,0,0,0,194,564,246,151,110,0,0
KINGRE01  ,Reggie,King,N,23,788,354,122,69,191,35,21,13,44,73,281,137,111,80,1,0
KINGST01  ,Stacey,King,N,61,719,264,83,53,136,31,21,15,50,98,227,89,114,84,4,2
KinseTa01 ,Tarence,Kinsey,N,9,11,4,1,1,2,0,1,0,1,2,3,1,2,2,0,0
KIRILAN01 ,Andrei,Kirilenko,N,43,1317,444,121,62,183,95,54,83,70,120,355,157,154,120,47,10
KIRKWA01  ,Walt,Kirk,N,3,0,5,0,0,0,1,0,0,0,8,7,2,6,1,0,0
KITCHCU01 ,Curtis,Kitchen,N,8,23,2,4,2,6,0,0,2,0,7,2,1,4,0,0,0
KITEGR01  ,Greg,Kite,N,61,378,57,64,33,97,17,6,13,17,94,53,21,24,15,0,0
KITTLKE01 ,Kerry,Kittles,N,54,1734,664,147,48,195,116,87,26,52,116,590,250,132,98,196,66
KLEINJO01 ,Joe,Kleine,N,50,592,192,93,40,133,18,11,15,26,103,163,84,29,23,5,1
KLEIZLI01 ,Linas,Kleiza,N,26,411,167,66,17,83,14,6,1,7,37,128,59,39,28,61,21
KLIERLE01 ,Leo,Klier,N,2,0,1,0,0,0,3,0,0,0,1,3,0,1,1,0,0
KLUEHDU01 ,Duane,Klueh,N,4,0,11,0,0,3,6,0,0,0,11,16,3,5,5,0,0
KNIGHBI01 ,Billy,Knight,N,10,153,71,10,11,21,10,3,0,9,9,69,32,10,7,4,0
KNIGHBI01 ,Billy,Knight,A,21,906,535,0,0,192,55,0,0,0,54,384,217,119,101,0,0
KNIGHBR01 ,Brevin,Knight,N,14,250,39,25,3,28,43,25,2,18,32,47,12,21,15,0,0
KNIGHNE01 ,Negele,Knight,N,17,198,87,8,5,13,28,4,1,14,17,83,35,19,16,6,1
KNIGHTO01 ,Toby,Knight,N,6,48,16,0,0,19,1,1,4,0,9,20,6,8,4,0,0
KNIGHTR01 ,Travis,Knight,N,27,152,40,22,6,28,4,4,6,11,40,28,17,12,6,0,0
KOFOEBA01 ,Bart,Kofoed,N,10,109,21,11,3,14,11,1,0,9,18,23,9,2,2,5,1
KOJISDO01 ,Don,Kojis,N,13,358,179,0,0,85,26,0,0,0,35,163,72,45,35,0,0
KOMENMI01 ,Milo,Komenich,N,8,0,68,0,0,0,14,0,0,0,36,107,26,28,16,0,0
KOMIVHO01 ,Howard,Komives,N,10,263,76,0,0,25,38,0,0,0,35,103,31,19,14,0,0
KONCAJO01 ,Jon,Koncak,N,53,1028,220,150,57,207,39,27,47,29,171,168,75,108,70,0,0
KOPICJO01 ,Joe,Kopicki,N,10,57,27,16,2,18,4,1,1,3,11,22,9,17,9,0,0
KORNEFR01 ,Frank,Kornet,N,2,4,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
KOROLYA01 ,Yaroslav,Korolev,N,24,127,27,8,5,13,9,3,0,6,11,30,9,10,7,7,2
KORVEKY01 ,Kyle,Korver,N,22,542,172,40,10,50,28,11,10,18,55,147,56,34,30,88,30
KOSMALE01 ,Len,Kosmalski,N,6,29,6,0,0,10,5,0,0,0,4,3,2,3,2,0,0
KOZELTO01 ,Tom,Kozelko,N,25,126,39,0,0,17,2,0,0,0,18,25,15,11,9,0,0
KOZLIRO01 ,Ron,Kozlicki,A,2,5,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
KRAMEJO01 ,Joel,Kramer,N,28,384,129,17,4,78,24,12,9,2,64,93,50,41,29,0,0
KRAMEST01 ,Steve,Kramer,A,2,20,7,0,0,4,0,0,0,0,0,5,2,3,3,0,0
KREBSJI01 ,Jim,Krebs,N,62,1129,329,0,0,348,53,0,0,0,211,351,127,96,75,0,0
KRONTO01  ,Tom,Kron,N,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KROPPTO01 ,Tom,Kropp,N,2,4,2,0,0,0,0,0,0,0,3,1,1,0,0,0,0
KRSTINE01 ,Nenad,Krstic,N,15,520,235,70,35,105,15,6,12,28,66,177,92,69,51,0,0
KRYSTLA01 ,Larry,Krystkowiak,N,17,502,145,71,35,106,28,9,3,24,50,116,49,53,47,2,0
KUBERST01 ,Steve,Kuberski,N,50,614,285,0,0,148,24,0,0,0,85,239,110,84,65,0,0
KUDELFR01 ,Frank,Kudelka,N,3,0,9,0,0,5,6,0,0,0,7,14,4,5,1,0,0
KUKOCTO01 ,Toni,Kukoc,N,99,2664,1064,283,104,387,317,95,29,141,215,878,386,264,184,316,108
KUNNEKE01 ,Kevin,Kunnert,N,23,615,212,7,2,176,27,1,0,3,95,195,91,53,30,1,0
KUPCHMI01 ,Mitch,Kupchak,N,47,711,311,64,28,194,22,7,9,19,106,227,118,116,75,1,0
KUPECCH01 ,Charles,Kupec,N,11,57,21,0,0,16,4,0,0,0,7,18,8,7,5,0,0
LACEYSA01 ,Sam,Lacey,N,29,1074,274,106,36,287,144,44,35,47,113,267,107,76,59,4,1
LACOUFR01 ,Fred,Lacour,N,5,47,20,0,0,6,4,0,0,0,6,21,7,7,6,0,0
LADNEWE01 ,Wendell,Ladner,A,40,718,282,0,0,171,69,0,0,0,145,359,131,33,20,0,0
LAETTCH01 ,Christian,Laettner,N,45,1158,472,152,60,212,69,36,21,72,134,398,172,155,123,28,5
LAFRERA01 ,Raef,Lafrentz,N,35,921,298,123,60,183,18,19,77,27,152,276,123,40,30,74,22
LAGARTO01 ,Tom,Lagarde,N,23,240,68,27,13,58,19,2,2,7,37,65,27,18,14,0,0
LAIMBBI01 ,Bill,Laimbeer,N,113,3735,1354,840,257,1097,195,84,83,143,408,1174,549,259,212,137,44
LAMARBO01 ,Bo,Lamar,N,10,109,33,0,0,9,14,0,0,0,12,41,12,10,9,0,0
LAMARBO01 ,Bo,Lamar,A,6,241,158,0,0,24,21,0,0,0,19,161,71,19,16,0,0
LAMBEJO01 ,John,Lambert,N,28,250,68,19,19,60,11,5,4,6,35,75,30,10,8,4,0
LAMPJE01  ,Jeff,Lamp,N,12,79,28,1,3,4,8,1,0,6,10,32,13,2,1,3,1
LandrCa01 ,Carl,Landry,N,19,346,131,48,31,79,3,11,8,16,35,96,50,49,31,2,0
LANDSMA01 ,Mark,Landsberger,N,41,433,96,86,65,151,7,4,4,21,77,114,42,20,12,2,0
LANEJE01  ,Jerome,Lane,N,4,35,7,6,1,7,4,0,0,2,8,10,2,4,3,1,0
LANGAN01  ,Andrew,Lang,N,42,683,193,91,44,135,12,15,50,39,112,153,68,74,57,1,0
LANGAN02  ,Antonio,Lang,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANIEBO01 ,Bob,Lanier,N,67,2361,1248,246,96,645,235,43,45,105,233,935,510,297,228,1,0
LANTZST01 ,Stu,Lantz,N,13,435,165,0,0,50,24,0,0,0,41,128,58,59,49,0,0
LARESYO01 ,York,Larese,N,9,78,30,0,0,19,5,0,0,0,14,35,11,12,8,0,0
LARUERU01 ,Rusty,Larue,N,4,53,20,6,0,6,6,1,0,4,6,16,6,10,6,5,2
LARUSRU01 ,Rudy,Larusso,N,93,3188,1344,0,0,779,194,0,0,0,366,1152,467,546,410,0,0
LATTIDA01 ,Dave,Lattin,N,5,27,7,0,0,5,1,0,0,0,9,5,1,6,5,0,0
LAUDEPR01 ,Priest,Lauderdale,N,3,7,0,1,1,2,0,0,0,3,1,3,0,0,0,0,0
LAVELTO01 ,Tony,Lavelli,N,2,0,4,0,0,1,1,0,0,0,2,5,1,2,2,0,0
LAVOYBO01 ,Bob,Lavoy,N,20,483,155,0,0,121,30,0,0,0,74,145,50,73,55,0,0
LawAc01   ,Acie,Law,N,13,89,29,3,1,4,14,2,0,9,8,17,9,11,10,3,1
LEAKSEM01 ,Emanuel,Leaks,N,2,5,2,0,0,2,0,0,0,0,1,2,1,0,0,0,0
LEAKSEM01 ,Emanuel,Leaks,A,19,640,268,0,0,196,20,0,0,0,41,236,111,65,46,0,0
LEAVEAL01 ,Allen,Leavell,N,63,1072,402,62,18,80,203,57,8,75,109,377,138,131,113,44,13
LECKNER01 ,Eric,Leckner,N,7,41,20,7,3,10,2,0,0,4,12,14,7,9,5,1,1
LEEBU01   ,Butch,Lee,N,3,6,2,1,0,1,0,0,0,3,2,0,0,2,2,0,0
LEECL01   ,Clyde,Lee,N,51,1414,360,0,0,519,61,0,0,0,157,368,146,116,68,0,0
LeeCo01   ,Courtney,Lee,N,21,550,169,33,6,39,27,19,3,20,42,154,67,26,23,44,12
LEEDEED01 ,Ed,Leede,N,2,0,3,0,0,0,2,0,0,0,3,7,1,1,1,0,0
LEEGE01   ,George,Lee,N,21,252,134,0,0,58,19,0,0,0,32,110,48,54,38,0,0
LEERO01   ,Ron,Lee,N,2,41,12,0,0,6,3,4,0,0,7,16,5,2,2,0,0
LEERU01   ,Russell,Lee,N,11,25,27,0,0,7,3,0,0,0,1,22,13,4,1,0,0
LEGLETI01 ,Tim,Legler,N,3,19,1,1,0,1,2,0,0,0,2,2,0,2,1,1,0
LEHMAGE02 ,George,Lehmann,N,1,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
LENARVO01 ,Voshon,Lenard,N,31,952,388,66,17,83,58,16,6,51,86,304,131,75,61,155,65
LENTZLA01 ,Leary,Lentz,A,3,73,25,0,0,19,3,0,0,0,6,26,12,3,1,0,0
LEONAGA01 ,Gary,Leonard,N,2,5,4,2,0,2,0,0,0,0,0,2,2,0,0,0,0
LESJI01   ,Jim,Les,N,3,5,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
LESTERO01 ,Ronnie,Lester,N,14,96,38,7,7,14,13,2,0,9,11,33,13,16,12,1,0
LEVERLA01 ,Lafayette,Lever,N,48,1441,596,191,85,276,297,89,9,81,118,548,227,160,124,44,18
LEVINCL01 ,Cliff,Levingston,N,82,1047,312,130,103,233,33,27,37,42,162,239,120,105,70,4,2
LEWISBO01 ,Bobby,Lewis,N,6,63,27,0,0,5,6,0,0,0,12,31,13,3,1,0,0
LEWISFR01 ,Freddie,Lewis,N,3,9,8,0,0,4,0,0,0,0,1,9,4,0,0,0,0
LEWISFR01 ,Freddie,Lewis,A,106,4151,1972,0,0,437,458,0,0,0,348,1679,712,643,548,0,0
LEWISQU01 ,Quincy,Lewis,N,12,162,43,15,3,18,4,5,8,6,34,50,18,9,4,11,3
LEWISRA01 ,Rashard,Lewis,N,50,1951,900,230,80,310,122,45,24,101,114,708,308,238,196,250,88
LEWISRA02 ,Ralph,Lewis,N,10,17,4,5,3,8,1,0,0,0,2,6,2,0,0,1,0
LEWISRE01 ,Reggie,Lewis,N,42,1278,734,121,54,175,109,51,19,57,110,575,293,188,146,15,2
LICHTTO01 ,Todd,Lichti,N,3,70,44,13,5,18,9,1,0,8,6,29,15,19,14,1,0
LIGONBI01 ,Bill,Ligon,N,2,7,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0
LISTEAL01 ,Alton,Lister,N,87,1797,617,327,179,506,70,39,142,126,319,477,241,211,135,2,0
LIVINRA01 ,Randy,Livingston,N,17,182,53,12,8,20,20,8,1,8,20,63,20,9,9,11,4
LIVINRO01 ,Ron,Livingstone,N,4,0,20,0,0,2,5,0,0,0,13,19,8,7,4,0,0
LIVINSH01 ,Shaun,Livingston,N,12,332,90,40,16,56,57,7,6,23,31,76,36,21,17,1,1
LLOYDEA01 ,Earl,Lloyd,N,44,1115,358,0,0,254,82,0,0,0,171,389,131,129,96,0,0
LLOYDLE01 ,Lewis,Lloyd,N,25,763,367,46,49,95,111,23,14,57,59,318,154,72,57,5,2
LOCHMBO01 ,Bob,Lochmueller,N,2,21,5,0,0,5,2,0,0,0,12,10,2,4,1,0,0
LOFGRDO01 ,Don,Lofgran,N,3,10,5,0,0,1,0,0,0,0,6,9,2,1,1,0,0
LOGANHE01 ,Henry,Logan,A,17,381,218,0,0,40,34,0,0,0,50,176,75,101,68,0,0
LOHAUBR01 ,Brad,Lohaus,N,20,224,68,33,9,42,7,9,10,13,27,68,29,2,1,26,9
LONGGR01  ,Grant,Long,N,42,1180,373,148,95,243,59,41,10,66,104,321,132,135,102,35,7
LONGJO01  ,John,Long,N,23,534,223,16,19,35,24,28,2,28,54,218,87,49,47,11,2
LONGLLU01 ,Luc,Longley,N,87,1914,577,232,140,372,136,46,73,145,338,517,241,133,95,0,0
LONGPA01  ,Paul,Long,N,1,4,6,0,0,0,1,0,0,0,1,3,3,0,0,0,0
LONGWI01  ,Willie,Long,A,8,209,81,0,0,49,5,0,0,0,29,77,29,31,23,0,0
LOPEZFE01 ,Felipe,Lopez,N,7,85,21,7,5,12,6,5,0,3,11,26,8,5,3,7,2
LOSCUJI01 ,Jim,Loscutoff,N,58,997,320,0,0,299,32,0,0,0,219,420,136,79,48,0,0
LOUGHKE01 ,Kevin,Loughery,N,43,1176,532,0,0,107,116,0,0,0,140,522,196,186,140,0,0
LOVEBO01  ,Bob,Love,N,47,2061,1076,0,0,352,87,0,0,0,144,1023,441,250,194,0,0
LOVELCL01 ,Clyde,Lovellette,N,69,1642,963,0,0,557,89,0,0,0,232,892,371,323,221,0,0
LOVEST01  ,Stan,Love,N,7,30,8,0,0,10,2,0,0,0,4,10,3,3,2,0,0
LOWERCH01 ,Chuck,Lowery,N,7,26,6,0,0,3,1,0,0,0,4,8,2,3,2,0,0
LowryKy01 ,Kyle,Lowry,N,13,254,69,30,8,38,32,12,1,17,23,63,21,31,23,16,4
LUCASJE01 ,Jerry,Lucas,N,72,2370,896,0,0,717,214,0,0,0,197,786,367,206,162,0,0
LUCASJO01 ,John,Lucas,N,45,1135,502,47,16,96,219,28,2,39,80,439,198,118,88,69,18
LUCASJO02 ,John,Lucas,N,2,8,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0
LUCASMA01 ,Maurice,Lucas,N,82,2426,1159,279,116,690,225,43,23,77,310,975,472,289,215,1,0
LUCASMA01 ,Maurice,Lucas,A,20,705,334,0,0,255,72,0,0,0,92,305,146,60,42,0,0
LUCKETE01 ,Ted,Luckenbill,N,4,17,2,0,0,3,1,0,0,0,3,5,0,5,2,0,0
LUETY01   ,Tyronn,Lue,N,21,170,48,11,2,13,17,14,1,12,15,49,19,5,4,16,6
LUMPKPH01 ,Phil,Lumpkin,N,17,136,31,0,0,13,21,0,0,0,8,30,10,14,11,0,0
LUMPPRA01 ,Ray,Lumpp,N,32,269,160,0,0,47,46,0,0,0,93,171,54,61,52,0,0
LYNCHGE01 ,George,Lynch,N,62,1512,405,216,142,358,86,67,23,70,174,374,164,94,63,56,14
LYNCHKE01 ,Kevin,Lynch,N,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LYNNMI01  ,Mike,Lynn,N,3,6,4,0,0,2,1,0,0,0,1,3,2,0,0,0,0
MACAUED01 ,Ed,Macauley,N,47,1414,648,0,0,321,138,0,0,0,141,499,218,291,212,0,0
MACCUTO01 ,Todd,Macculloch,N,43,517,187,78,64,142,18,5,30,27,67,147,78,47,31,0,0
MACKLRU01 ,Rudy,Macklin,N,5,108,44,11,7,18,3,2,2,7,18,32,15,16,14,1,0
MACKNJO01 ,Johnny,Macknowski,N,13,0,130,0,0,7,25,0,0,0,23,113,45,54,40,0,0
MACKSA01  ,Sam,Mack,N,10,170,62,17,1,18,8,5,0,7,12,53,18,20,14,35,12
MACYKY01  ,Kyle,Macy,N,44,1258,402,78,34,112,170,44,3,56,99,363,169,53,44,53,20
MADSEMA01 ,Mark,Madsen,N,49,448,85,50,48,98,18,8,8,18,80,77,31,50,23,2,0
MAGGECO01 ,Corey,Maggette,N,12,292,183,80,7,87,17,7,5,26,39,122,57,67,61,24,8
MAGLOJA01 ,Jamaal,Magloire,N,42,889,330,164,74,238,21,9,40,50,110,225,107,170,116,1,0
MAHAFRA01 ,Randy,Mahaffey,A,9,238,113,0,0,50,11,0,0,0,16,91,43,38,27,0,0
MAHNKJO01 ,John,Mahnken,N,12,122,16,0,0,40,18,0,0,0,38,32,4,11,8,0,0
MAHONFR01 ,Francis,Mahoney,N,4,45,9,0,0,7,2,0,0,0,14,14,3,5,3,0,0
MAHORRI01 ,Rick,Mahorn,N,106,2429,612,429,150,579,72,42,63,93,348,528,249,152,114,3,0
MAJERDA01 ,Dan,Majerle,N,123,4239,1441,456,153,609,304,164,52,128,285,1222,508,324,244,513,181
MALONJE01 ,Jeff,Malone,N,51,1809,956,106,35,141,110,39,12,90,123,812,382,223,190,12,2
MALONKA01 ,Karl,Malone,N,193,7907,4761,1560,502,2062,610,258,135,550,660,3768,1743,1725,1269,37,6
MALONMA01 ,Matt,Maloney,N,21,691,212,26,1,27,68,12,5,42,42,183,71,30,22,128,48
MALONMO01 ,Moses,Malone,N,94,3796,2077,650,401,1295,136,71,130,207,244,1566,750,756,576,7,1
MALONMO01 ,Moses,Malone,A,6,235,136,0,0,105,9,0,0,0,21,80,51,51,34,0,0
MANNIDA01 ,Danny,Manning,N,43,1191,628,136,66,202,80,42,31,76,152,493,247,171,131,12,3
MANNIED01 ,Ed,Manning,N,6,92,25,0,0,32,4,0,0,0,13,28,12,2,1,0,0
MANNIED01 ,Ed,Manning,A,19,361,152,0,0,71,8,0,0,0,53,126,64,29,24,0,0
MANNIGU01 ,Guy,Manning,A,3,66,41,0,0,19,2,0,0,0,11,34,15,19,11,0,0
MANNIPA01 ,Pace,Mannion,N,8,41,18,4,3,7,4,1,2,7,5,12,4,12,10,1,0
MARAVPE02 ,Pete,Maravich,N,26,756,487,8,0,95,98,3,0,9,74,449,190,134,105,6,2
MARBUST01 ,Stephon,Marbury,N,32,937,402,62,20,82,146,29,0,74,75,422,150,100,75,99,27
MARCISA01 ,Sarunas,Marciulionis,N,17,440,233,24,15,39,61,24,2,28,40,160,75,95,78,21,5
MARINJA01 ,Jack,Marin,N,51,1679,757,0,0,283,120,0,0,0,151,649,292,210,173,0,0
MARIOSH01 ,Shawn,Marion,N,65,2642,1109,524,182,706,89,97,99,81,186,963,446,190,154,182,63
MARKSSE01 ,Sean,Marks,N,6,83,16,10,10,20,0,3,2,2,9,13,6,5,4,1,0
MARSHDO01 ,Donyell,Marshall,N,47,883,315,127,63,190,32,16,25,34,87,293,117,53,41,116,40
MARSHDO02 ,Donny,Marshall,N,8,15,3,0,0,0,0,0,0,0,1,5,1,1,1,4,0
MARSHTO01 ,Tom,Marshall,N,5,83,27,0,0,33,4,0,0,0,2,37,10,10,7,0,0
MARTIDA01 ,Darrick,Martin,N,25,299,95,13,7,20,43,5,0,14,31,93,28,35,27,36,12
MARTIFE01 ,Fernando,Martin,N,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MARTIKE01 ,Kenyon,Martin,N,78,2790,1204,425,155,580,172,97,93,187,335,1041,480,346,240,30,4
MARTIKE02 ,Kevin,Martin,N,6,197,79,20,10,30,3,3,2,2,11,54,22,29,29,19,6
MARTIMO01 ,Mo,Martin,N,6,63,38,6,4,10,10,0,2,6,13,34,13,18,12,2,0
MASHBJA01 ,Jamal,Mashburn,N,52,1849,782,185,57,242,165,49,9,113,148,712,277,218,170,157,58
MASINAL01 ,Al,Masino,N,13,96,21,0,0,6,7,0,0,0,23,20,7,15,7,0,0
MASONAN01 ,Anthony,Mason,N,96,3092,909,414,222,636,214,54,28,175,257,636,333,364,243,4,0
MASONDE01 ,Desmond,Mason,N,16,607,211,82,15,97,26,14,8,23,45,187,78,74,54,9,1
MASONRO01 ,Roger,Mason Jr,N,15,293,105,15,0,15,16,5,1,9,31,95,38,17,13,46,16
MASSETO01 ,Tony,Massenburg,N,15,99,28,21,11,32,2,0,4,5,11,27,11,11,6,0,0
MASTED01  ,Eddie,Mast,N,16,49,23,0,0,15,2,0,0,0,7,17,11,5,1,0,0
MATTHWE01 ,Wes,Matthews,N,38,384,173,15,3,18,66,12,2,43,43,141,68,45,36,9,1
MAXIEJA01 ,Jason,Maxiell,N,35,581,166,75,39,114,20,20,32,19,74,107,67,64,32,1,0
MAXWECE01 ,Cedric,Maxwell,N,102,2731,1116,320,233,553,194,74,50,172,260,688,375,471,366,2,0
MAXWEVE01 ,Vernon,Maxwell,N,49,1648,642,117,26,143,165,44,5,88,111,645,240,112,78,279,84
MAYDO01   ,Don,May,N,14,126,41,0,0,31,9,0,0,0,12,42,14,17,13,0,0
MAYESCL01 ,Clyde,Mayes,N,3,41,5,0,0,6,1,0,0,0,6,5,1,4,3,0,0
MAYSC01   ,Scott,May,N,7,147,49,4,7,25,13,2,0,6,16,46,14,29,21,0,0
MAYSTR01  ,Travis,Mays,N,1,20,4,1,0,1,0,0,0,1,3,4,2,0,0,1,0
MBENGDJ01 ,D.J.,Mbenga,N,21,71,16,16,4,20,0,2,4,6,18,17,7,2,2,0,0
MCADOBO01 ,Bob,McAdoo,N,94,2714,1718,250,99,711,127,53,101,118,318,1423,698,442,320,8,2
MCCANBO01 ,Bob,McCann,N,1,13,6,1,1,2,0,0,1,2,2,6,3,0,0,0,0
MCCANME01 ,Mel,McCants,N,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MCCARJO01 ,Johnny,McCarthy,N,27,810,159,0,0,96,132,0,0,0,78,162,63,45,33,0,0
MCCARWA01 ,Walter,McCarty,N,46,743,183,84,21,105,37,17,9,20,76,151,69,18,13,92,32
MCCARWI01 ,Willie,McCarter,N,17,246,62,0,0,29,20,0,0,0,32,83,30,7,2,0,0
MCCASAM01 ,Amal,McCaskill,N,2,7,5,3,0,3,1,0,0,0,1,3,2,3,1,0,0
MCCLATE01 ,Ted,McClain,N,25,304,93,0,0,36,50,11,0,0,36,90,37,24,19,0,0
MCCLATE01 ,Ted,McClain,A,39,1007,312,0,0,156,127,0,0,0,130,341,128,78,56,0,0
MCCLOGE01 ,George,McCloud,N,14,342,143,38,8,46,30,12,3,18,49,108,49,29,19,59,26
MCCORTI01 ,Tim,McCormick,N,15,214,59,46,11,57,6,4,4,7,35,49,22,18,15,1,0
MCCOYJE01 ,Jelani,McCoy,N,3,26,4,6,0,6,2,0,0,2,6,5,2,3,0,0,0
MCCRARO01 ,Rodney,McCray,N,46,1650,503,190,81,271,206,33,33,87,99,374,197,147,109,6,0
MCCRASC01 ,Scooter,McCray,N,4,38,8,3,3,6,3,1,0,0,8,6,4,1,0,1,0
MCDANJI01 ,Jim,McDaniels,A,10,98,42,0,0,35,5,0,0,0,16,41,19,7,4,0,0
MCDANXA01 ,Xavier,McDaniel,N,51,1733,867,212,145,357,131,36,22,125,173,787,365,189,126,39,11
MCDONBE01 ,Ben,McDonald,N,10,85,8,8,6,14,10,5,1,4,15,21,3,4,2,5,0
MCDONGL01 ,Glenn,McDonald,N,19,98,26,0,0,14,6,0,0,0,16,38,10,9,6,0,0
MCDONRO01 ,Rod,McDonald,A,9,36,25,0,0,14,2,0,0,0,6,18,12,3,1,0,0
MCDOWHA01 ,Hank,McDowell,N,15,37,9,6,4,10,4,0,0,2,8,8,2,8,5,0,0
MCDYEAN01 ,Antonio,McDyess,N,84,1969,705,384,198,582,70,47,68,86,281,617,300,152,105,3,0
MCFARPA01 ,Pat,McFarland,A,5,30,6,0,0,3,2,0,0,0,3,8,2,2,2,0,0
MCGEEMI01 ,Mike,McGee,N,68,838,486,46,63,109,55,23,3,54,100,400,201,103,63,61,21
MCGILBI01 ,Bill,McGill,N,5,34,11,0,0,9,2,0,0,0,9,9,5,1,1,0,0
MCGILBI01 ,Bill,McGill,A,7,96,47,0,0,23,6,0,0,0,26,39,19,10,9,0,0
MCGINGE01 ,George,McGinnis,A,70,2680,1629,0,0,901,286,0,0,0,291,1334,599,620,431,0,0
MCGINGE01 ,George,McGinnis,N,34,1035,495,8,2,327,118,17,1,5,143,474,187,189,121,0,0
